ID;hist_plan;data;grupa;podgrupa;sprzet;klient;region;ilosc;cena_hurt;obrot
1;hist;012004;BI;chlodnictwo;chlodziarki;;Meblarze;15;929;11631,21
2;hist;012004;BI;chlodnictwo;chlodziarki;;Others;5;929;2011,98
3;hist;012004;BI;chlodnictwo;chlodziarki;;Polnoc;37;929;31280,18
4;hist;012004;BI;chlodnictwo;chlodziarki;;Poludnie;38;929;28348,24
5;hist;012004;BI;chlodnictwo;chlodziarki;;Sieci;27;929;19871,83
6;hist;012004;BI;chlodnictwo;chlodziarki;;Zachod;5;929;3789,14
7;hist;012004;BI;chlodnictwo;chlodziarki;AVANS;Poludnie;10;929;7998,52
8;hist;012004;BI;chlodnictwo;chlodziarki;AVANS;Wschod;24;929;19496,10
9;hist;012004;BI;chlodnictwo;chlodziarki;AVANS;Zachod;22;929;16614,34
10;hist;012004;BI;chlodnictwo;chlodziarki;BRW-SA;Meblarze;6;929;5444,41
11;hist;012004;BI;chlodnictwo;chlodziarki;G7;Polnoc;21;929;16538,45
12;hist;012004;BI;chlodnictwo;chlodziarki;G7;Poludnie;49;929;38657,79
13;hist;012004;BI;chlodnictwo;chlodziarki;G7;Sieci;1;929;730,36
14;hist;012004;BI;chlodnictwo;chlodziarki;G7;Zachod;7;929;5032,68
15;hist;012004;BI;chlodnictwo;chlodziarki;MEDIA MARKT;Sieci;4;929;3366,31
16;hist;012004;BI;chlodnictwo;chlodziarki;NEONET;Zachod;28;929;23488,51
17;hist;012004;BI;chlodnictwo;chlodziarki;PARTNER;Wschod;6;929;4806,53
18;hist;012004;BI;chlodnictwo;chlodziarki;PARTNER;Zachod;5;929;4053,63
19;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;;Meblarze;3;1093;2696,96
20;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;;Polnoc;5;1093;5115,15
21;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;;Poludnie;13;1093;12410,72
22;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;;Sieci;6;1093;5218,18
23;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;;Wschod;2;1093;1396,52
24;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;;Zachod;1;1093;956,52
25;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;AVANS;Poludnie;4;1093;3808,88
26;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;AVANS;Wschod;5;1093;4704,52
27;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;G7;Polnoc;1;1093;955,14
28;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;G7;Sieci;3;1093;2934,03
29;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;G7;Zachod;4;1093;4095,52
30;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;MEDIA MARKT;Sieci;3;1093;2621,05
31;hist;012004;BI;chlodnictwo;lodowki dwudrzwiowe;NEONET;Zachod;4;1093;3816,60
32;hist;012004;BI;chlodnictwo;lodowki kombi;;Meblarze;54;1291;51724,03
33;hist;012004;BI;chlodnictwo;lodowki kombi;;Others;14;1291;11500,83
34;hist;012004;BI;chlodnictwo;lodowki kombi;;Polnoc;51;1291;59569,93
35;hist;012004;BI;chlodnictwo;lodowki kombi;;Poludnie;76;1291;84585,05
36;hist;012004;BI;chlodnictwo;lodowki kombi;;Sieci;106;1291;112084,10
37;hist;012004;BI;chlodnictwo;lodowki kombi;;Wschod;7;1291;8702,01
38;hist;012004;BI;chlodnictwo;lodowki kombi;;Zachod;29;1291;32305,47
39;hist;012004;BI;chlodnictwo;lodowki kombi;AVANS;Poludnie;8;1291;9538,93
40;hist;012004;BI;chlodnictwo;lodowki kombi;AVANS;Wschod;53;1291;62531,24
41;hist;012004;BI;chlodnictwo;lodowki kombi;AVANS;Zachod;25;1291;28812,09
42;hist;012004;BI;chlodnictwo;lodowki kombi;BRW-SA;Meblarze;9;1291;10355,43
43;hist;012004;BI;chlodnictwo;lodowki kombi;G7;Polnoc;31;1291;35235,40
44;hist;012004;BI;chlodnictwo;lodowki kombi;G7;Poludnie;66;1291;39169,13
45;hist;012004;BI;chlodnictwo;lodowki kombi;G7;Sieci;32;1291;36768,38
46;hist;012004;BI;chlodnictwo;lodowki kombi;G7;Zachod;10;1291;11343,04
47;hist;012004;BI;chlodnictwo;lodowki kombi;MEDIA MARKT;Sieci;6;1291;6048,78
48;hist;012004;BI;chlodnictwo;lodowki kombi;NEONET;Zachod;13;1291;15565,26
49;hist;012004;BI;chlodnictwo;lodowki kombi;PARTNER;Wschod;4;1291;4697,09
50;hist;012004;BI;chlodnictwo;lodowki kombi;PARTNER;Zachod;162;1291;184350,69
51;hist;012004;BI;chlodnictwo;zamrazarki;;Meblarze;2;980;1793,38
52;hist;012004;BI;chlodnictwo;zamrazarki;;Polnoc;2;980;1924,36
53;hist;012004;BI;chlodnictwo;zamrazarki;;Poludnie;1;980;583,92
54;hist;012004;BI;chlodnictwo;zamrazarki;;Sieci;3;980;1176,82
55;hist;012004;BI;chlodnictwo;zamrazarki;AVANS;Wschod;1;980;837,00
56;hist;012004;BI;chlodnictwo;zamrazarki;AVANS;Zachod;1;980;899,11
57;hist;012004;BI;chlodnictwo;zamrazarki;BRW-SA;Meblarze;1;980;886,62
58;hist;012004;BI;chlodnictwo;zamrazarki;G7;Polnoc;1;980;895,40
59;hist;012004;BI;chlodnictwo;zamrazarki;G7;Poludnie;1;980;705,26
60;hist;012004;BI;chlodnictwo;zamrazarki;NEONET;Zachod;1;980;672,54
61;hist;012004;BI;chlodnictwo;zamrazarki;PARTNER;Zachod;5;980;4584,20
62;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;;Meblarze;1;1007;708,87
63;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;;Polnoc;13;1007;11286,31
64;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;;Poludnie;7;1007;6281,67
65;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;;Sieci;10;1007;8563,90
66;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;;Wschod;3;1007;2795,88
67;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;;Zachod;2;1007;1884,07
68;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;AVANS;Wschod;1;1007;894,48
69;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;AVANS;Zachod;2;1007;1798,22
70;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;G7;Polnoc;5;1007;4477,00
71;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;G7;Poludnie;15;1007;14489,85
72;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;G7;Sieci;8;1007;7334,72
73;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;G7;Zachod;3;1007;1925,37
74;hist;012004;BI;mikrofalowki;mikrofalowki elektronicznie;PARTNER;Zachod;10;1007;9168,40
75;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;;Meblarze;1;839;742,95
76;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;;Polnoc;4;839;3080,94
77;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;;Poludnie;11;839;8230,71
78;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;;Sieci;11;839;7823,08
79;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;;Wschod;4;839;2858,47
80;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;;Zachod;5;839;3790,31
81;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;AVANS;Poludnie;2;839;1492,14
82;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;AVANS;Wschod;4;839;2984,28
83;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;AVANS;Zachod;1;839;746,07
84;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;BRW-SA;Meblarze;2;839;1302,05
85;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;G7;Polnoc;4;839;2984,28
86;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;G7;Poludnie;9;839;6685,72
87;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;G7;Zachod;2;839;1527,88
88;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;MEDIA MARKT;Sieci;1;839;570,85
89;hist;012004;BI;mikrofalowki;mikrofalowki mechanicznie;PARTNER;Zachod;20;839;15278,80
90;hist;012004;BI;okapy;okapy kominowe;;Others;10;546;3818,56
91;hist;012004;BI;okapy;okapy kominowe;;Polnoc;205;546;100743,68
92;hist;012004;BI;okapy;okapy kominowe;;Poludnie;240;546;114340,80
93;hist;012004;BI;okapy;okapy kominowe;;Sieci;401;546;199815,75
94;hist;012004;BI;okapy;okapy kominowe;;Wschod;43;546;22020,64
95;hist;012004;BI;okapy;okapy kominowe;AVANS;Poludnie;50;546;21086,88
96;hist;012004;BI;okapy;okapy kominowe;BRW-SA;Meblarze;41;546;17153,10
97;hist;012004;BI;okapy;okapy kominowe;G7;Polnoc;90;546;37463,79
98;hist;012004;BI;okapy;okapy kominowe;G7;Poludnie;221;546;112133,09
99;hist;012004;BI;okapy;okapy kominowe;G7;Sieci;93;546;45899,98
100;hist;012004;BI;okapy;okapy kominowe;G7;Zachod;66;546;32734,43
101;hist;012004;BI;okapy;okapy kominowe;MEDIA MARKT;Sieci;41;546;21079,31
102;hist;012004;BI;okapy;okapy kominowe;PARTNER;Wschod;42;546;18864,96
103;hist;012004;BI;okapy;okapy meblowe;;Meblarze;12;171;1855,68
104;hist;012004;BI;okapy;okapy meblowe;;Others;2;171;339,55
105;hist;012004;BI;okapy;okapy meblowe;;Polnoc;5;171;800,75
106;hist;012004;BI;okapy;okapy meblowe;;Poludnie;6;171;893,64
107;hist;012004;BI;okapy;okapy meblowe;;Sieci;18;171;2639,90
108;hist;012004;BI;okapy;okapy meblowe;;Wschod;10;171;1548,04
109;hist;012004;BI;okapy;okapy meblowe;;Zachod;4;171;616,24
110;hist;012004;BI;okapy;okapy meblowe;AVANS;Poludnie;3;171;464,10
111;hist;012004;BI;okapy;okapy meblowe;AVANS;Wschod;7;171;1077,96
112;hist;012004;BI;okapy;okapy meblowe;AVANS;Zachod;12;171;1557,90
113;hist;012004;BI;okapy;okapy meblowe;G7;Poludnie;24;171;3304,85
114;hist;012004;BI;okapy;okapy meblowe;NEONET;Zachod;1;171;155,35
115;hist;012004;BI;okapy;okapy meblowe;PARTNER;Zachod;4;171;633,64
116;hist;012004;BI;okapy;okapy teleskopowe;;Meblarze;36;332;10563,24
117;hist;012004;BI;okapy;okapy teleskopowe;;Others;2;332;299,50
118;hist;012004;BI;okapy;okapy teleskopowe;;Polnoc;88;332;26890,36
